Netherlands, Male,12.9,12.9,11.6,11.4
New Zealand, Male,17.3,17.3,17.7,21.3
Nicaragua, Male,19.2,19.3,19.8,29.4
Niger, Male,11.5,11.6,11.7,10.7
Nigeria, Male,17.5,17.2,16.1,16
Norway, Male,13.6,13.3,14.7,18.1
Oman, Male,4.8,5,5.1,7.1
Pakistan, Male,3,3.1,3.2,3.6
Panama, Male,7.6,6.7,9.1,11.7
Papua New Guinea, Male,10.2,10.1,9.1,11.8
Paraguay, Male,12.3,12.9,12.6,15.6
Peru, Male,7.6,7.6,7.5,8.8
Philippines, Male,5.2,5.4,5.7,4.5
Poland, Male,23.9,23.5,28,26.6
Portugal, Male,14.3,14.3,14.4,9.2
Qatar, Male,7.3,7.1,6.5,4.9
Republic of Korea, Male,29.6,31.4,39.3,20.8
Moldova, Male,24.1,24.9,32.5,29.2
Macedonia, Male,9.7,9.7,7.2,10.3
Romania, Male,13.9,16.2,19.8,19.9
Russian Federation, Male,48.3,49.9,62.3,85.8
Rwanda, Male,16.9,17.2,18.7,30.5
Saint Lucia, Male,12.7,12.9,11,13
Saint Vincent and the Grenadines, Male,3.9,4.3,5.7,13.6
Samoa, Male,8.7,8.9,10.3,16.7
Sao Tome and Principe, Male,4.2,4.2,3.9,3.8
Saudi Arabia, Male,4.6,4.6,5.4,5
Senegal, Male,20.3,20.8,21.9,22.6
Serbia, Male,17.3,16.8,18.3,25.8
Seychelles, Male,15,15.1,15.6,16.7
Sierra Leone, Male,18.2,17.4,17.7,21.9
Singapore, Male,11.1,10.2,11.1,15.5
Slovakia, Male,18.4,18.4,20.6,22.2
Slovenia, Male,22.4,24.3,26.5,40.5
Solomon Islands, Male,8.5,8.8,10,16.9
Somalia, Male,11.5,11.4,10.3,11
South Africa, Male,21.7,22.1,22.9,22.7
South Sudan, Male,8.3,8.2,9.1,11
Spain, Male,9.3,8.7,8.1,10.4
Sri Lanka, Male,23.3,24,31.2,47.8
Sudan, Male,14.5,14.5,14.6,14.6
Suriname, Male,36.1,38,43.7,41.5
Sweden, Male,15.8,16.9,17.1,16.8
